Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
750	-2247.87	-1827.16	-420.704	179.181	0.216543	6.16041e-05	0.156379	0.0601641	0.169282	0.27394	0.0183658	0.252384	0.20232	0.083709	0.906702	0.974177	1.02263	1.09649	-4.21039	0.381782	0.177361	0.154213	0.286644	0.156379
760	-2252.62	-1828.78	-423.837	116.914	0.276531	5.30509e-05	0.213297	0.063234	0.116327	0.188245	0.0561813	0.246966	0.305002	0.0872791	0.885013	0.967579	1.02753	1.11987	-4.27531	0.359919	0.163461	0.158203	0.318417	0.213297
770	-2256.2	-1833.37	-422.822	143.206	0.536135	6.70904e-05	0.497958	0.0381775	0.264036	0.284363	0.0363168	0.100346	0.19716	0.117778	0.89587	0.970911	1.0251	1.10812	-4.17334	0.368846	0.163248	0.152539	0.315367	0.497958
780	-2230.58	-1843.42	-387.159	301.674	0.741512	9.49579e-05	0.711273	0.0302392	0.252442	0.189938	0.0347221	0.0828474	0.327444	0.112606	0.927794	0.980372	1.01773	1.0741	-4.02247	0.377573	0.167111	0.144111	0.311205	0.711273
790	-2218.16	-1838.01	-380.146	205.023	1.32559	0.000114871	1.30484	0.0207433	0.190274	0.223485	0.0726908	0.0925581	0.32725	0.0937429	0.912675	0.975953	1.02126	1.09011	-3.93979	0.346896	0.196725	0.150417	0.305962	1.30484
800	-2206.24	-1847.74	-358.499	101.004	2.13704	0.000157843	2.10827	0.0287613	0.168492	0.183612	0.0539287	0.149555	0.300193	0.144219	0.876509	0.964928	1.02942	1.12915	-3.80177	0.381248	0.164853	0.1496	0.304299	2.10827
810	-2216.26	-1833.45	-382.805	222.727	1.34298	0.00011019	1.32716	0.0158153	0.146989	0.16018	0.0470463	0.307514	0.207856	0.130414	0.916159	0.976981	1.02045	1.08641	-3.95786	0.365764	0.188771	0.162324	0.283141	1.32716
820	-2209.48	-1825.46	-384.025	116.361	1.24308	0.000108313	1.21127	0.0318125	0.169479	0.184687	0.0794534	0.18312	0.239659	0.143601	0.884746	0.967497	1.02759	1.12016	-3.96532	0.374819	0.168688	0.166342	0.29015	1.21127
830	-2214.54	-1827.12	-387.427	156.712	0.672857	0.000120038	0.617566	0.0552913	0.158934	0.213403	0.0745101	0.210446	0.208039	0.134667	0.900366	0.972274	1.02408	1.10328	-3.92068	0.373477	0.16672	0.162358	0.297445	0.617566
840	-2216.26	-1832.01	-384.248	145.112	0.669261	9.45927e-05	0.64077	0.0284907	0.215452	0.259906	0.0801203	0.116529	0.250101	0.0778923	0.896541	0.971115	1.02495	1.1074	-4.02414	0.368475	0.174721	0.145085	0.311719	0.64077
850	-2209.62	-1825.27	-384.352	105.547	0.862156	8.99564e-05	0.830094	0.0320615	0.196146	0.236617	0.0818644	0.18677	0.227691	0.0709127	0.879128	0.965749	1.02884	1.12628	-4.04597	0.346939	0.166307	0.167277	0.319476	0.830094
860	-2208.19	-1837.34	-370.85	98.022	1.65467	9.50609e-05	1.63442	0.0202465	0.206871	0.226747	0.0598955	0.263603	0.214306	0.028578	0.874692	0.964357	1.02982	1.13114	-4.022	0.347353	0.166506	0.167477	0.318663	1.63442
