Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
790	-5764.99	-5340.78	-424.203	58.4178	0.176473	5.80898e-05	0.152284	0.0241896	0.178462	0.200656	0.0383589	0.12175	0.290026	0.170748	0.838939	0.952773	1.03745	1.17083	-4.2359	0.346288	0.150043	0.162877	0.340792	0.152284
800	-5763.92	-5343.2	-420.723	180.012	0.233081	5.813e-05	0.176715	0.0563654	0.190628	0.173172	0.0401658	0.179225	0.243668	0.173141	0.906914	0.97424	1.02259	1.09626	-4.2356	0.333182	0.162042	0.163235	0.341541	0.176715
810	-5752.83	-5332.57	-420.264	146.203	0.308287	5.68237e-05	0.283229	0.0250577	0.12879	0.203474	0.0594901	0.153669	0.282942	0.171634	0.89692	0.97123	1.02486	1.10699	-4.24547	0.331946	0.1664	0.172333	0.329321	0.283229
820	-5756.29	-5333.54	-422.748	31.1093	0.156961	5.8386e-05	0.10006	0.0569001	0.12805	0.202306	0.0446602	0.152787	0.281318	0.190878	0.782194	0.932977	1.04869	1.23614	-4.23369	0.327891	0.156341	0.170227	0.345541	0.10006
830	-5753.67	-5338.37	-415.294	197.484	0.340308	6.47409e-05	0.301176	0.0391314	0.128542	0.231559	0.0374451	0.108891	0.331012	0.16255	0.911053	0.975473	1.02163	1.09184	-4.18882	0.351002	0.156182	0.158928	0.333888	0.301176
840	-5754.91	-5339.52	-415.389	91.0691	0.245999	6.41132e-05	0.197947	0.0480519	0.142273	0.182891	0.041445	0.120523	0.36637	0.146498	0.870123	0.962914	1.03081	1.13615	-4.19305	0.335822	0.142324	0.168293	0.353562	0.197947
850	-5749.13	-5330.21	-418.918	185.038	0.130184	6.30247e-05	0.0719193	0.0582645	0.132368	0.222093	0.0385596	0.129816	0.340864	0.136299	0.908164	0.974613	1.0223	1.09492	-4.20049	0.329713	0.161016	0.167802	0.341469	0.0719193
860	-5755.07	-5335.94	-419.127	194.157	0.190587	6.13075e-05	0.145985	0.0446022	0.142919	0.309627	0.0349932	0.132966	0.255802	0.123692	0.910307	0.975251	1.02181	1.09264	-4.21249	0.334116	0.166173	0.163607	0.336104	0.145985
870	-5761.38	-5337.69	-423.69	187.559	0.163092	5.18261e-05	0.0954977	0.0675946	0.138422	0.219406	0.0356258	0.185024	0.260427	0.161096	0.908772	0.974794	1.02216	1.09427	-4.28545	0.316836	0.160397	0.172207	0.350559	0.0954977
880	-5761.13	-5335.56	-425.567	354.602	0.249079	5.8708e-05	0.21086	0.0382198	0.207713	0.199997	0.0775826	0.122762	0.242154	0.149792	0.933329	0.981962	1.01643	1.06828	-4.2313	0.311337	0.157613	0.180329	0.350722	0.21086
890	-5757.51	-5337.22	-420.286	321.044	0.174474	5.35074e-05	0.136129	0.0383448	0.171161	0.164803	0.034506	0.186109	0.301727	0.141694	0.929977	0.981001	1.01722	1.0718	-4.27159	0.326321	0.153404	0.175036	0.345239	0.136129
